request_id,quote_id,quote_price,hired,pro_id
1,38912310,NA,0,851539
1,38912311,210,0,10113954
1,38913628,NA,0,13498826
1,38914071,NA,0,15921289
1,38912344,NA,0,14506387
2,39189751,175,0,76329
2,39189531,100,1,10995392
3,38146708,NA,0,5836949
3,38178389,NA,0,5918823
4,38192457,100,0,15728846
6,38019902,NA,1,5946838
6,39654871,342,0,16766783
7,39323696,90,0,13845097
7,39306659,95,1,721711
7,39307016,100,0,3100367
7,39306763,90,0,13344666
7,39307152,100,0,10465008
9,39373522,NA,0,2922236
9,39408337,NA,0,15121390
9,39375814,NA,0,512253
11,38681986,100,0,6597843
12,38814077,NA,0,5690491
12,38823181,NA,1,9385679
12,39654872,364,0,16766784
15,38917177,200,1,9977990
16,38552017,NA,0,16372802
16,38547176,NA,0,9751130
17,38889634,NA,0,5836949
17,38890623,NA,0,2646809
18,37894367,NA,0,5946838
18,37898471,55,0,15659018
18,37882445,NA,0,638164
18,37885576,NA,0,5507135
18,37881313,NA,1,5864613
19,38124896,345,0,5015135
19,38128340,NA,0,6521959
19,39658171,418,1,16770083
20,37829796,NA,0,5536109
20,37862242,NA,0,13334660
20,37829159,NA,0,6427711
21,37845658,NA,1,276936
21,37849774,NA,0,13368627
22,39247011,NA,0,5113450
22,39247336,NA,0,13151093
22,39656371,375,0,16768283
23,38828433,NA,0,4979660
23,38882270,NA,0,3322471
25,38150488,NA,1,48975
26,39302757,480,0,5902929
27,39551426,150,0,5553055
27,39518129,125,0,2988244
28,38498734,100,0,15395832
28,38510391,162,0,12250098
28,38536015,70,0,15465254
29,38139824,NA,0,1763807
29,38135089,NA,1,12282080
29,39654873,392,0,16766785
31,38366512,NA,0,10164102
31,38363602,NA,0,5423509
31,38364409,NA,0,6119172
31,39658172,400,0,16770084
32,38874860,NA,0,14032955
32,38879757,325,0,4683548
32,38927642,175,0,14728915
33,39442897,NA,0,15852300
33,39441917,NA,0,5712795
33,39448344,NA,0,7182917
33,39454115,NA,0,4806124
33,39654874,337,0,16766786
34,37825368,NA,0,5674183
34,37826030,NA,0,7542497
34,37850498,290,0,12036191
34,37824706,NA,0,8411521
35,37989517,NA,0,13577539
35,37991409,299,0,11354533
36,37935042,150,0,15341158
37,38861579,NA,0,630036
37,38843831,110,0,126708
37,38859682,NA,0,14830113
37,39656372,359,0,16768284
38,37964252,NA,1,6573894
39,38117036,NA,0,9634965
39,38110347,NA,0,13498826
39,38107806,NA,0,851539
39,39658173,430,0,16770085
41,37984954,335,1,5015135
41,37982762,475,0,95758
41,37987034,NA,0,11189445
42,39654875,358,1,16766787
43,38875245,160,0,13362972
43,38875512,160,0,5892351
43,38877063,120,0,6514794
43,38894557,30,1,122530
43,38875215,130,0,14386040
44,37767698,NA,0,15842518
44,37767123,NA,1,7166095
45,38656635,NA,0,6427711
45,38666505,NA,0,5536109
45,39658174,447,0,16770086
47,39172432,NA,1,14032955
48,39278482,NA,0,8003513
48,39654876,363,0,16766788
49,38168238,100,1,13299976
50,39562267,100,0,3100367
50,39548262,90,0,13344666
52,39432008,240,1,3124320
52,39432413,NA,0,6811639
52,39469128,NA,0,14830113
54,37801660,NA,0,5536109
54,37792026,NA,0,6183916
54,37792327,245,0,8510658
55,38063820,165,0,14386040
56,39509460,130,0,13696705
57,39118060,NA,0,5495235
57,39137195,NA,0,4442755
57,39130683,NA,0,15470940
57,39117487,850,0,714680
58,38994311,175,1,8624083
60,38709322,NA,0,13034456
61,39658175,413,0,16770087
62,37747233,120,1,13344666
62,37747308,135,0,15322535
63,38664473,NA,1,7980713
63,38655564,NA,0,13109248
64,38729270,130,0,2990218
66,37760075,NA,0,5674183
66,37745967,NA,0,2576188
66,37745545,NA,0,8411521
66,37745957,NA,0,7542497
67,37848023,110,0,11135905
67,37783097,185,0,13361841
68,39390719,0,0,12115955
68,39388529,NA,0,10918280
68,39390182,NA,0,7781857
68,39388571,NA,0,7674101
70,38660928,125,0,13459690
70,38670836,90,0,12726087
70,38661893,149,0,10897618
70,38690494,100,0,13397186
70,38663945,110,0,9251524
72,38226507,30,0,122530
73,39485808,NA,0,8573865
74,38386351,NA,0,4710058
74,38416744,NA,0,4525178
74,38386569,NA,0,10962393
76,38290490,NA,0,4525178
76,38262180,NA,0,512253
76,39654877,374,0,16766789
78,39255133,340,0,12036191
78,39246453,NA,1,5011955
78,39243280,NA,0,9100623
78,39658176,420,0,16770088
79,39440364,NA,0,6183916
80,38250611,150,1,8214908
81,37912301,0,0,5184051
82,39558669,NA,0,15432780
85,39380552,NA,0,13598717
87,38490160,NA,0,5536109
87,39658177,386,0,16770089
91,39256593,NA,1,6427711
91,39257109,NA,0,5536109
93,38909599,1,0,16526085
94,38126570,NA,1,15271200
95,39536996,115,0,13708958
95,39491761,150,0,14284649
95,39551825,200,0,8224769
96,39359684,NA,0,2017108
96,39358928,NA,0,5123959
96,39393657,395,0,10617673
96,39378449,NA,0,16599486
97,38688653,60,0,16056389
98,39407947,300,0,3971673
98,39420783,140,0,11702853
98,39408144,375,0,6446147
100,39058735,225,1,15375727
101,38051845,NA,1,8411521
101,38052770,NA,0,9526087
101,38060101,NA,0,7542497
101,38053246,340,0,12036191
101,39654878,355,0,16766790
102,38491856,NA,0,6302273
102,38494888,NA,0,10377759
102,38491911,NA,0,5783620
102,38491880,NA,0,10164102
103,38376933,NA,0,13511352
103,38374550,NA,0,15788910
103,38373408,NA,0,10785885
103,39654879,400,0,16766791
104,38068007,NA,0,14462289
104,38107240,NA,0,4979660
105,39395764,NA,0,11707023
105,39397723,650,1,16688982
106,38341903,NA,0,5918823
106,38312506,NA,0,5836949
107,37907880,NA,0,15972671
107,39658178,427,1,16770090
108,37806368,NA,0,5722837
108,37809586,NA,0,9356364
109,39285216,NA,0,5722837
110,38748682,NA,0,6565643
110,38800240,NA,0,15079889
110,38748504,NA,0,2612614
111,38645884,NA,1,712920
112,37954700,695,0,95758
112,37952190,595,0,5015135
112,39656374,382,0,16768286
113,37951886,375,0,14580880
113,37986931,NA,0,13598717
113,37944728,NA,1,5495235
113,37948592,NA,0,15346050
114,38056943,180,1,9087027
114,38071581,50,0,9200003
114,38066393,120,0,5745495
116,39247939,NA,0,8101631
117,38479722,420,0,14760521
118,38932166,NA,1,14854154
118,38951266,NA,0,7877670
119,37904552,NA,0,15674047
119,37902370,NA,0,127398
119,37923005,NA,0,15715301
119,37910011,NA,0,16146056
119,37900853,NA,0,15343968
121,38540560,NA,0,8580801
121,38540546,NA,0,6966171
121,38560600,460,0,14100188
121,38540615,NA,0,5507135
121,38541254,NA,0,15056177
123,38251483,100,0,15127159
124,38928816,NA,0,6302273
124,38932901,NA,0,6031923
124,38939147,NA,0,5783620
124,38928388,NA,1,5423509
124,39654880,357,0,16766792
125,38455953,520,0,14344670
126,38627466,NA,0,6022597
126,38617229,199,0,2985491
127,38279358,NA,0,4983113
127,38278936,NA,0,8623467
127,38278806,NA,0,12821195
128,39512034,NA,0,2922236
128,39516607,NA,0,15121390
128,39516672,NA,0,57067
129,39134307,250,0,15659018
129,39169427,NA,0,13458533
129,39174284,NA,0,13259690
129,39654881,368,0,16766793
130,37952352,NA,0,6355964
130,37946041,NA,0,15381113
131,38110187,NA,0,12794286
131,38108965,NA,0,15842518
131,39656375,403,0,16768287
132,39070510,NA,1,9421506
132,39119958,NA,0,16306197
132,39654882,380,0,16766794
133,38716204,NA,0,13074493
133,38711807,NA,0,15742413
133,38707583,1212,0,14729813
133,38707755,NA,0,6744989
133,38723829,NA,0,10321468
134,37899500,NA,0,5536109
134,37933875,NA,0,10113644
135,39429202,NA,1,5587578
135,39425526,0,0,11902700
135,39473690,280,0,7135096
135,39654883,352,0,16766795
136,39023834,NA,0,2176835
136,39654884,339,0,16766796
137,38374529,NA,0,12314451
137,38372364,NA,0,12886973
140,38286610,NA,0,8580801
140,38277429,NA,0,15004583
140,38277108,NA,1,13458533
140,39654885,396,0,16766797
143,38059650,NA,0,630036
145,38316443,NA,1,14460592
145,38316563,NA,0,12227844
145,38316594,NA,0,12132203
145,38316523,NA,0,1922972
145,38316481,NA,0,12258477
147,39025762,NA,0,5536109
147,39654886,314,0,16766798
148,38749812,NA,1,16398396
149,38762657,NA,0,5536109
149,38733639,NA,0,6427711
150,38543161,NA,1,15346050
150,38543682,NA,0,4442755
150,38545446,NA,0,12909323
150,38542860,NA,0,13034627
150,38545254,NA,0,7980713
151,39058679,NA,0,2804180
151,39067780,NA,0,13321253
151,39058161,NA,1,16220704
152,38082892,NA,1,449043
154,37808210,335,0,9409813
154,37808332,92,1,15005771
154,37808529,350,0,3920387
159,38001323,NA,0,712920
159,39654887,377,0,16766799
160,37797290,NA,0,15079889
160,37767479,NA,0,14572025
160,39654888,361,0,16766800
161,39052054,129,0,12443688
162,39471724,15,0,14269824
162,39428533,300,1,40718
163,38069189,200,0,15922267
163,38029794,180,0,5345936
164,38121404,NA,0,7511480
164,38124287,NA,0,10267233
164,38120158,NA,1,330699
165,38133630,450,0,276936
165,38124847,NA,0,5123959
165,38205547,375,0,10617673
165,39654889,380,0,16766801
166,37911892,165,0,8510658
167,38982359,200,0,2742558
168,38952366,NA,0,5722837
168,39656376,384,0,16768288
170,37919732,NA,0,4544442
170,37917334,NA,0,2576188
170,37918106,NA,0,712920
170,37918368,250,0,15432780
170,37936935,NA,0,12359689
171,38867452,650,0,14729813
171,38867955,NA,0,6744989
171,38872020,NA,0,10321468
171,39654890,369,0,16766802
172,39154717,150,0,2323292
