session_date,device,category_name,sent_request,request_id,how_far,num_bedrooms,num_bathrooms
8/1/16,desktop,House Cleaning (One Time),1,9067,,1 bedroom,1 bathroom
8/1/16,desktop,Local Moving (under 50 miles),1,12707,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,19561,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,31010,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,6887,11 - 20 miles,,
8/1/16,desktop,House Cleaning (One Time),1,30673,,1 bedroom,1 bathroom
8/1/16,mobile,Local Moving (under 50 miles),1,32253,21 - 30 miles,,
8/1/16,mobile,House Cleaning (One Time),1,22560,,3 bedrooms,1.5 bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,21478,11 - 20 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,2110,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,7032,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,6027,,,
8/1/16,desktop,Local Moving (under 50 miles),1,23452,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,13111,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,26277,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,16988,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,24494,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,33854,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,12971,21 - 30 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,26533,11 - 20 miles,,
8/1/16,desktop,House Cleaning (One Time),1,31899,,3 bedrooms,3 bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,7240,Less than 5 miles,,
8/1/16,desktop,House Cleaning (One Time),1,22239,,2 bedrooms,1 bathroom
8/1/16,mobile,Local Moving (under 50 miles),1,4285,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,9119,31 - 50 miles,,
8/1/16,mobile,House Cleaning (One Time),1,13175,,3 bedrooms,2 bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,457,,,
8/1/16,mobile,Local Moving (under 50 miles),1,13048,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,29673,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,11613,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,16448,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,20455,11 - 20 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,16838,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,6353,21 - 30 miles,,
8/1/16,mobile,House Cleaning (One Time),1,28225,,3 bedrooms,1.5 bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,22803,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,27093,Within the same building,,
8/1/16,mobile,Local Moving (under 50 miles),1,3682,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,24686,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,14028,11 - 20 miles,,
8/1/16,mobile,House Cleaning (One Time),1,28001,,3 bedrooms,3 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,22069,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,26702,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,18861,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,18066,Within the same building,,
8/1/16,mobile,House Cleaning (One Time),1,26919,,,
8/1/16,mobile,Local Moving (under 50 miles),1,796,Less than 5 miles,,
8/1/16,mobile,House Cleaning (One Time),1,16274,,2 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,24972,11 - 20 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,23621,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,16286,Less than 5 miles,,
8/1/16,mobile,House Cleaning (One Time),1,29364,,1 bedroom,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,14937,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,8347,11 - 20 miles,,
8/1/16,mobile,House Cleaning (One Time),1,2410,,2 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,3392,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,10783,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,17681,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,22568,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,13869,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,31118,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,10008,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,15648,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,11330,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,22184,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,8794,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,16310,Within the same building,,
8/1/16,desktop,Local Moving (under 50 miles),1,26116,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,2872,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,29830,31 - 50 miles,,
8/1/16,desktop,House Cleaning (One Time),1,11555,,,
8/1/16,mobile,House Cleaning (One Time),1,28605,,,
8/1/16,mobile,Local Moving (under 50 miles),1,11814,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,11374,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,16231,5 - 10 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,30399,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,29449,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,13287,Less than 5 miles,,
8/1/16,desktop,House Cleaning (One Time),1,26483,,3 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,32727,Less than 5 miles,,
8/1/16,mobile,House Cleaning (One Time),1,14808,,4 bedrooms,3 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,24273,21 - 30 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,13626,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,11083,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,25789,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,6905,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,24222,Less than 5 miles,,
8/1/16,desktop,House Cleaning (One Time),1,4145,,4 bedrooms,2 bathrooms
8/1/16,desktop,House Cleaning (One Time),1,8362,,4 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,4881,21 - 30 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,8162,31 - 50 miles,,
8/1/16,mobile,House Cleaning (One Time),1,2008,,3 bedrooms,3 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,21874,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,29841,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,26525,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,27150,5 - 10 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,15503,Less than 5 miles,,
8/1/16,desktop,House Cleaning (One Time),1,13964,,4 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,27610,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,20597,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,22292,,1 bedroom,1 bathroom
8/1/16,desktop,Local Moving (under 50 miles),1,12025,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,9202,,,
8/1/16,desktop,Local Moving (under 50 miles),1,33795,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,21567,11 - 20 miles,,
8/1/16,desktop,House Cleaning (One Time),1,7259,,3 bedrooms,2 bathrooms
8/1/16,desktop,House Cleaning (One Time),1,4404,,4 bedrooms,4+ bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,16276,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,31455,11 - 20 miles,,
8/1/16,desktop,House Cleaning (One Time),1,20381,,4 bedrooms,3 bathrooms
8/1/16,desktop,House Cleaning (One Time),1,33226,,1 bedroom,1 bathroom
8/1/16,mobile,Local Moving (under 50 miles),1,24908,5 - 10 miles,,
8/1/16,mobile,House Cleaning (One Time),1,12142,,3 bedrooms,2 bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,14685,21 - 30 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,5045,21 - 30 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,446,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,24352,11 - 20 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,3512,,,
8/1/16,desktop,House Cleaning (One Time),1,15187,,2 bedrooms,1 bathroom
8/1/16,mobile,Local Moving (under 50 miles),1,21782,5 - 10 miles,,
8/1/16,mobile,House Cleaning (One Time),1,33750,,2 bedrooms,2 bathrooms
8/1/16,desktop,Local Moving (under 50 miles),1,16864,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,16480,21 - 30 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,5902,11 - 20 miles,,
8/1/16,desktop,House Cleaning (One Time),1,25682,,4 bedrooms,2 bathrooms
8/1/16,mobile,House Cleaning (One Time),1,15443,,2 bedrooms,2 bathrooms
8/1/16,mobile,House Cleaning (One Time),1,17391,,4 bedrooms,4+ bathrooms
8/1/16,mobile,Local Moving (under 50 miles),1,7061,Less than 5 miles,,
8/1/16,mobile,Local Moving (under 50 miles),1,7779,Less than 5 miles,,
8/1/16,desktop,Local Moving (under 50 miles),1,20265,21 - 30 miles,,
